Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,78300.0,79200.0,78100.0,79200.0,78067.3828125,12743417
2021-07-29,78800.0,79400.0,78800.0,79000.0,77870.2421875,14360453
2021-07-30,78900.0,78900.0,78500.0,78500.0,77377.390625,13823411
2021-08-02,79200.0,79500.0,78700.0,79300.0,78165.9453125,11739124
2021-08-03,79400.0,81400.0,79300.0,81400.0,80235.921875,24339360
2021-08-04,82200.0,83100.0,81800.0,82900.0,81714.4609375,25642368
2021-08-05,83300.0,83300.0,82000.0,82100.0,80925.90625,18485469
2021-08-06,81900.0,82500.0,81300.0,81500.0,80334.4921875,13342623
2021-08-09,81500.0,82300.0,80900.0,81500.0,80334.4921875,15522581
2021-08-10,82300.0,82400.0,80100.0,80200.0,79053.078125,20362639
2021-08-11,79600.0,79800.0,78500.0,78500.0,77377.390625,30241137
2021-08-12,77100.0,78200.0,76900.0,77000.0,75898.84375,42365223
2021-08-13,75800.0,76000.0,74100.0,74400.0,73336.015625,61270643
2021-08-17,74000.0,75100.0,74000.0,74200.0,73138.8828125,30944847
2021-08-18,73900.0,74600.0,73100.0,73900.0,72843.1796875,29192631
2021-08-19,73500.0,74400.0,73100.0,73100.0,72054.6171875,22166298
2021-08-20,73500.0,73900.0,72500.0,72700.0,71660.3359375,22364803
2021-08-23,73300.0,74000.0,73000.0,73300.0,72251.75,19384648
2021-08-24,73900.0,75700.0,73900.0,75600.0,74518.859375,21016913
2021-08-25,76200.0,76600.0,74900.0,75700.0,74617.4296875,22319664
2021-08-26,76100.0,76200.0,74600.0,74600.0,73533.1640625,16671494
2021-08-27,74300.0,75000.0,73800.0,74300.0,73237.453125,15172748
2021-08-30,75400.0,75500.0,74200.0,74600.0,73533.1640625,12686999
2021-08-31,74900.0,76700.0,74300.0,76700.0,75603.1328125,24630370
2021-09-01,76700.0,77100.0,75900.0,76800.0,75701.7109375,16114775
2021-09-02,76800.0,76800.0,75700.0,76000.0,74913.1328125,15347486
2021-09-03,76400.0,76700.0,76000.0,76600.0,75504.5625,12096419
2021-09-06,76800.0,77600.0,76600.0,77300.0,76194.5546875,12861180
2021-09-07,77100.0,77100.0,75900.0,76100.0,75011.7109375,13239401
2021-09-08,76000.0,76400.0,75600.0,76300.0,75208.859375,11798147
2021-09-09,76400.0,76600.0,75000.0,75300.0,74223.1484375,17600770
2021-09-10,75300.0,75600.0,74800.0,75300.0,74223.1484375,10103212
2021-09-13,75200.0,76300.0,75100.0,76300.0,75208.859375,11397775
2021-09-14,77100.0,77700.0,76600.0,76600.0,75504.5625,18167057
2021-09-15,77400.0,77400.0,76400.0,77000.0,75898.84375,12829128
2021-09-16,77300.0,77400.0,76100.0,76100.0,75011.7109375,13067622
2021-09-17,76300.0,77200.0,75900.0,77200.0,76095.984375,16289502
2021-09-23,77500.0,77600.0,76800.0,77400.0,76293.125,17055590
2021-09-24,77600.0,77700.0,77100.0,77300.0,76194.5546875,12247274
2021-09-27,77300.0,77700.0,77000.0,77700.0,76588.828125,11699798
2021-09-28,77700.0,77800.0,76200.0,76300.0,75208.859375,15406382
2021-09-29,74800.0,75300.0,73800.0,74100.0,73387.53125,23992458
2021-09-30,74300.0,74800.0,73700.0,74100.0,73387.53125,19919361
2021-10-01,73900.0,74000.0,72900.0,73200.0,72496.1796875,15803395
2021-10-05,73000.0,73000.0,71400.0,72200.0,71505.8046875,24013921
2021-10-06,72600.0,72800.0,71200.0,71300.0,70614.453125,18956962
2021-10-07,71600.0,72100.0,71300.0,71600.0,70911.5625,13683532
2021-10-08,72300.0,72400.0,71500.0,71500.0,70812.53125,14043287
2021-10-12,70700.0,70900.0,68700.0,69000.0,68336.5703125,31001484
2021-10-13,68700.0,69600.0,68300.0,68800.0,68138.4921875,24172015
2021-10-14,69000.0,69800.0,68800.0,69400.0,68732.7265625,19520641
2021-10-15,70200.0,71000.0,70000.0,70100.0,69425.9921875,18051612
2021-10-18,70200.0,70300.0,69200.0,70200.0,69525.03125,13486391
2021-10-19,70800.0,71000.0,70400.0,70600.0,69921.1875,9507991
2021-10-20,70700.0,71000.0,70200.0,70300.0,69624.0703125,10151638
2021-10-21,70300.0,70600.0,70000.0,70200.0,69525.03125,10891094
2021-10-22,70000.0,70700.0,70000.0,70400.0,69723.1015625,8395448
2021-10-25,69900.0,70600.0,69500.0,70200.0,69525.03125,10029621
2021-10-26,70600.0,71500.0,70400.0,71100.0,70416.3828125,10528252
